PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40137451,Association Between Sociodemographic Disparities and Door to Computerized Tomography Time in Patients with Acute Ischemic Stroke Across COVID-19 Periods in the Emergency Department: A Multi-Center Cohort Study.,2025 Mar 15,,,
40137448,Protective Effect of Daily Physical Activity Against COVID-19 in a Young Adult Population on Reunion Island.,2025 Mar 12,,,
40137443,"Impact of the SARS-CoV-2 Pandemic on the Prevalence and Incidence of Enteric Protozoa in a Spanish Tertiary-Care Hospital and a Referral Center for Tropical Diseases, 2019-2023.",2025 Mar 1,,,
40137440,"Protection and waning of vaccine-induced, natural and hybrid immunity to SARS-CoV-2 in Hong Kong.",2025 Mar 26,,,
40137298,Exploring the Preventive Potential of Solubilized Sturgeon Oil on Acute Infection with Respiratory Viruses.,2025 Mar 5,,,
40137232,Gut Mycobiome Changes During COVID-19 Disease.,2025 Mar 3,,,
40137188,GM-CBAM-ResNet: A Lightweight Deep Learning Network for Diagnosis of COVID-19.,2025 Mar 3,,,
40137168,Cytokine-Based Insights into Bloodstream Infections and Bacterial Gram Typing in ICU COVID-19 Patients.,2025 Mar 16,,,
40137156,Analyses of Saliva Metabolome Reveal Patterns of Metabolites That Differentiate SARS-CoV-2 Infection and COVID-19 Disease Severity.,2025 Mar 11,,,
40137051,Physiological Sensors Equipped in Wearable Devices for Management of Long COVID Persisting Symptoms: Scoping Review.,2025 Mar 26,,,
40137048,The Impact of the Burden of COVID-19 Regulatory Reporting in a Small Independent Hospital and a Large Network Hospital: Comparative Mixed Methods Study.,2025 Mar 26,,,
40137006,Fractional CO(2) Laser for Pediatric Hypertrophic Scars: Lessons Learned from a Prematurely Terminated Split-Scar Trial.,2025 Feb 20,,,
40137002,Non-Pharmaceutical Interventions on COVID-19 in Workers and Residents of Nursing Homes in Geneva: A Mixed Qualitative and Quantitative Study.,2025 Mar 11,,,
40137001,The Impact of the COVID-19 Pandemic on Medical Training at the Greek National Health Service: A Cross-Sectional Study.,2025 Mar 6,,,
40136998,Does Calm Always Follow the Storm? A Comprehensive Temporal Analysis of Emergency Department Visits in Northern Italy Before and After the COVID-19 Pandemic.,2025 Mar 1,,,
40136995,Advances in Virus Biorecognition and Detection Techniques for the Surveillance and Prevention of Infectious Diseases.,2025 Mar 20,,,
40136961,Detection of IgG Antibodies Against COVID-19 N-Protein by Hybrid Graphene-Nanorod Sensor.,2025 Mar 4,,,
40136850,"Not All Workers Experience Equal Sleep Changes: Insights from the ""WorkInCovid"" Project.",2025 Mar 10,,,
40136755,"Oral Medicine and Oral Clinical Chemistry Game Changers for Future Plaque Control and Maintenance: PerioSafe(®) aMMP-8 POCT, Lumoral(®) 2× PDT- and Lingora(®) Fermented Lingonberry Oral Rinse-Treatments.",2025 Mar 13,,,
40136667,"Autophagy and Respiratory Viruses: Mechanisms, Viral Exploitation, and Therapeutic Insights.",2025 Mar 12,,,
40136649,Proinflammatory Cytokines in Chronic Respiratory Diseases and Their Management.,2025 Mar 9,,,
40136643,Mechanism of β-Catenin in Pulmonary Fibrosis Following SARS-CoV-2 Infection.,2025 Mar 7,,,
40136633,International Survey on Phenylketonuria Newborn Screening.,2025 Feb 26,,,
